payment_id,merchant_id,order_id,payment_method,gateway_status,order_fulfillment,amount_paise,amount_inr,order_amount_paise,order_amount_inr,settlement_count,settled_net_amount_inr,interchange_fee_inr,tax_inr,dispute_event_count,ledger_entry_count,is_anomalous,anomaly_type,severity,finance_ops_state,exposure_inr,created_at
PAY-000001,mer_retail_kart,ORD-000001,CARD,REFUNDED,CANCELLED,5190500,51905.0,5190500,51905.0,1,50986.29,778.57,140.14,1,2,TRUE,GHOST_SETTLEMENT,CRITICAL,VERIFIED_CLOSED,50986.29,2026-08-01T09:02:00
PAY-000002,mer_tech_gadgets,ORD-000002,CARD,FAILED,CANCELLED,2604900,26049.0,2604900,26049.0,1,25587.94,390.73,70.33,0,1,TRUE,GHOST_SETTLEMENT,HIGH,DIAGNOSED,25587.94,2026-08-01T13:02:00
PAY-000003,mer_fashion_hub,ORD-000003,CARD,DISPUTED,FULFILLED,2069700,20697.0,2069700,20697.0,1,20330.67,310.45,55.88,2,3,TRUE,REFUND_CHARGEBACK_DOUBLE_DIP,HIGH,DIAGNOSED,20697.0,2026-08-01T09:05:00
PAY-000004,mer_tech_gadgets,ORD-000004,CARD,DISPUTED,FULFILLED,2114000,21140.0,2114000,21140.0,1,20765.83,317.1,57.07,2,3,TRUE,REFUND_CHARGEBACK_DOUBLE_DIP,HIGH,DIAGNOSED,21140.0,2026-08-03T09:05:00
PAY-000005,mer_fashion_hub,ORD-000005,UPI,CAPTURED,FULFILLED,586900,5869.0,586900,5869.0,1,5799.75,58.69,10.56,0,1,TRUE,SETTLEMENT_SLA_BREACH,MEDIUM,DIAGNOSED,5869.0,2026-08-03T09:10:00
PAY-000006,mer_groceries_express,ORD-000006,UPI,CAPTURED,FULFILLED,1222300,12223.0,1222300,12223.0,1,12078.77,122.23,22.0,0,1,TRUE,SETTLEMENT_SLA_BREACH,MEDIUM,DIAGNOSED,12223.0,2026-08-06T09:10:00
PAY-000007,mer_tech_gadgets,ORD-000007,CARD,CAPTURED,FULFILLED,1000000,10000.0,1000000,10000.0,3,9823.0,150.0,27.0,0,3,TRUE,PARTIAL_SETTLEMENT,LOW,DIAGNOSED,0.0,2026-08-01T12:05:00
PAY-000008,mer_tech_gadgets,ORD-000008,CARD,CAPTURED,FULFILLED,1000000,10000.0,1000000,10000.0,3,9823.0,150.0,27.0,0,3,TRUE,PARTIAL_SETTLEMENT,LOW,DIAGNOSED,0.0,2026-08-03T12:05:00
PAY-000009,mer_groceries_express,ORD-000009,UPI,CAPTURED,FULFILLED,1103900,11039.0,1103900,11039.0,0,0.0,0.0,0.0,0,0,TRUE,MISSING_UNALLOCATED_SETTLEMENT,MEDIUM,DIAGNOSED,11039.0,2026-08-01T14:03:00
PAY-000010,mer_travel_hub,ORD-000010,UPI,CAPTURED,FULFILLED,3577000,35770.0,3577000,35770.0,0,0.0,0.0,0.0,0,0,TRUE,MISSING_UNALLOCATED_SETTLEMENT,HIGH,DIAGNOSED,35770.0,2026-08-03T14:03:00
PAY-000011,mer_retail_kart,ORD-000011,CARD,CAPTURED,FULFILLED,1740300,17403.0,1740300,17403.0,1,17094.98,261.04,46.98,0,1,TRUE,LEGITIMATE_TIMING_EXCEPTION,LOW,DIAGNOSED,0.0,2026-08-07T19:35:00
PAY-000012,mer_health_plus,ORD-000012,CARD,CAPTURED,FULFILLED,1130000,11300.0,1130000,11300.0,1,11099.99,169.5,30.51,0,1,TRUE,LEGITIMATE_TIMING_EXCEPTION,LOW,DIAGNOSED,0.0,2026-08-14T19:35:00
PAY-000013,mer_travel_hub,ORD-000013,UPI,CAPTURED,FULFILLED,1575600,15756.0,1575600,15756.0,1,15477.12,236.34,42.54,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T09:13:00
PAY-000014,mer_travel_hub,ORD-000014,NETBANKING,CAPTURED,FULFILLED,1423000,14230.0,1423000,14230.0,1,13978.13,213.45,38.42,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T11:47:00
PAY-000015,mer_tech_gadgets,ORD-000015,NETBANKING,CAPTURED,FULFILLED,3079400,30794.0,3079400,30794.0,1,30248.95,461.91,83.14,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T13:29:00
PAY-000016,mer_retail_kart,ORD-000016,CARD,FAILED,CANCELLED,260300,2603.0,260300,2603.0,0,0.0,0.0,0.0,0,0,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T15:27:00
PAY-000017,mer_fashion_hub,ORD-000017,NETBANKING,CAPTURED,FULFILLED,1443400,14434.0,1443400,14434.0,1,14178.52,216.51,38.97,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T17:49:00
PAY-000018,mer_tech_gadgets,ORD-000018,UPI,CAPTURED,FULFILLED,3881100,38811.0,3881100,38811.0,1,38124.06,582.16,104.78,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T19:37:00
PAY-000019,mer_retail_kart,ORD-000019,NETBANKING,CAPTURED,FULFILLED,768500,7685.0,768500,7685.0,1,7548.99,115.27,20.74,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T21:12:00
PAY-000020,mer_groceries_express,ORD-000020,UPI,CAPTURED,FULFILLED,3675600,36756.0,3675600,36756.0,1,36105.42,551.34,99.24,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-01T23:02:00
PAY-000021,mer_travel_hub,ORD-000021,NETBANKING,CAPTURED,FULFILLED,1086500,10865.0,1086500,10865.0,1,10672.7,162.97,29.33,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T01:30:00
PAY-000022,mer_retail_kart,ORD-000022,CARD,CAPTURED,FULFILLED,4237400,42374.0,4237400,42374.0,1,41623.99,635.61,114.4,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T03:42:00
PAY-000023,mer_fashion_hub,ORD-000023,CARD,CAPTURED,FULFILLED,3975200,39752.0,3975200,39752.0,1,39048.39,596.28,107.33,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T05:28:00
PAY-000024,mer_travel_hub,ORD-000024,CARD,DISPUTED,FULFILLED,429600,4296.0,429600,4296.0,1,4219.97,64.44,11.59,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T07:25:00
PAY-000025,mer_fashion_hub,ORD-000025,UPI,DISPUTED,FULFILLED,891400,8914.0,891400,8914.0,1,8756.23,133.71,24.06,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T09:50:00
PAY-000026,mer_fashion_hub,ORD-000026,NETBANKING,DISPUTED,FULFILLED,2092800,20928.0,2092800,20928.0,1,20557.58,313.92,56.5,1,2,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T11:31:00
PAY-000027,mer_travel_hub,ORD-000027,CARD,CAPTURED,FULFILLED,3905500,39055.0,3905500,39055.0,1,38363.74,585.82,105.44,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T13:39:00
PAY-000028,mer_tech_gadgets,ORD-000028,CARD,CAPTURED,FULFILLED,255800,2558.0,255800,2558.0,1,2512.73,38.37,6.9,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T15:23:00
PAY-000029,mer_fashion_hub,ORD-000029,UPI,CAPTURED,FULFILLED,3792300,37923.0,3792300,37923.0,1,37251.77,568.84,102.39,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T17:44:00
PAY-000030,mer_retail_kart,ORD-000030,NETBANKING,CAPTURED,FULFILLED,2371900,23719.0,2371900,23719.0,1,23299.18,355.78,64.04,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T19:34:00
PAY-000031,mer_health_plus,ORD-000031,CARD,CAPTURED,FULFILLED,447200,4472.0,447200,4472.0,1,4392.85,67.08,12.07,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T21:31:00
PAY-000032,mer_tech_gadgets,ORD-000032,CARD,CAPTURED,FULFILLED,1252500,12525.0,1252500,12525.0,1,12303.32,187.87,33.81,0,1,FALSE,NORMAL,NONE,RECONCILED,0.0,2026-08-02T23:25:00
